week,hour,day,day_type,southbound,northbound
1,0,Mon,weekday,812,461
1,1,Mon,weekday,515,266
1,2,Mon,weekday,410,283
1,3,Mon,weekday,311,546
1,4,Mon,weekday,629,1018
1,5,Mon,weekday,1507,1545
1,6,Mon,weekday,5406,3869
1,7,Mon,weekday,6013,5910
1,8,Mon,weekday,5858,5882
1,9,Mon,weekday,5373,5365
1,10,Mon,weekday,4582,4879
1,11,Mon,weekday,4626,4833
1,12,Mon,weekday,4841,4838
1,13,Mon,weekday,4776,5013
1,14,Mon,weekday,5058,5105
1,15,Mon,weekday,5829,6058
1,16,Mon,weekday,6272,6215
1,17,Mon,weekday,5699,5902
1,18,Mon,weekday,4414,5116
1,19,Mon,weekday,3168,3243
1,20,Mon,weekday,2458,2145
1,21,Mon,weekday,1791,1450
1,22,Mon,weekday,1050,1060
1,23,Mon,weekday,1054,732
1,0,Tues,weekday,951,503
1,1,Tues,weekday,621,275
1,2,Tues,weekday,395,268
1,3,Tues,weekday,295,500
1,4,Tues,weekday,579,1011
1,5,Tues,weekday,1368,1571
1,6,Tues,weekday,5280,3882
1,7,Tues,weekday,6003,6206
1,8,Tues,weekday,5968,6062
1,9,Tues,weekday,5375,5561
1,10,Tues,weekday,5083,5061
1,11,Tues,weekday,4683,4842
1,12,Tues,weekday,4778,4827
1,13,Tues,weekday,4993,5154
1,14,Tues,weekday,5115,5181
1,15,Tues,weekday,6008,6041
1,16,Tues,weekday,6360,6074
1,17,Tues,weekday,5726,6379
1,18,Tues,weekday,4861,5343
1,19,Tues,weekday,3211,3757
1,20,Tues,weekday,2439,2238
1,21,Tues,weekday,1872,1587
1,22,Tues,weekday,1356,1181
1,23,Tues,weekday,941,793
1,0,Wed,weekday,705,492
1,1,Wed,weekday,632,285
1,2,Wed,weekday,383,308
1,3,Wed,weekday,308,532
1,4,Wed,weekday,547,1011
1,5,Wed,weekday,1438,1619
1,6,Wed,weekday,5447,3806
1,7,Wed,weekday,5979,6033
1,8,Wed,weekday,5966,6029
1,9,Wed,weekday,5720,5799
1,10,Wed,weekday,4785,5150
1,11,Wed,weekday,4892,4795
1,12,Wed,weekday,4948,5006
1,13,Wed,weekday,5089,5255
1,14,Wed,weekday,5255,5454
1,15,Wed,weekday,5942,6283
1,16,Wed,weekday,4973,6223
1,17,Wed,weekday,5679,5751
1,18,Wed,weekday,5588,5895
1,19,Wed,weekday,2896,3849
1,20,Wed,weekday,2657,2360
1,21,Wed,weekday,2055,1720
1,22,Wed,weekday,1406,1244
1,23,Wed,weekday,1065,715
1,0,Thurs,weekday,826,547
1,1,Thurs,weekday,628,293
1,2,Thurs,weekday,396,261
1,3,Thurs,weekday,289,523
1,4,Thurs,weekday,591,1125
1,5,Thurs,weekday,1468,1689
1,6,Thurs,weekday,4845,3812
1,7,Thurs,weekday,5648,5733
1,8,Thurs,weekday,5726,5858
1,9,Thurs,weekday,4460,4093
1,10,Thurs,weekday,5262,5282
1,11,Thurs,weekday,5145,5080
1,12,Thurs,weekday,5140,5346
1,13,Thurs,weekday,5476,5320
1,14,Thurs,weekday,5205,5531
1,15,Thurs,weekday,6074,6117
1,16,Thurs,weekday,5688,6113
1,17,Thurs,weekday,5578,6217
1,18,Thurs,weekday,5008,5635
1,19,Thurs,weekday,3646,3900
1,20,Thurs,weekday,2649,2495
1,21,Thurs,weekday,2130,1835
1,22,Thurs,weekday,1588,1330
1,23,Thurs,weekday,1079,825
1,0,Fri,weekday,881,594
1,1,Fri,weekday,662,350
1,2,Fri,weekday,526,335
1,3,Fri,weekday,342,652
1,4,Fri,weekday,644,1234
1,5,Fri,weekday,1479,1757
1,6,Fri,weekday,5217,3755
1,7,Fri,weekday,5635,5877
1,8,Fri,weekday,5673,5478
1,9,Fri,weekday,4963,5296
1,10,Fri,weekday,4765,5143
