week,hour,day,day_type,southbound,northbound,temp
1,0,Mon,weekday,812,461,10.2
1,1,Mon,weekday,515,266,9.8
1,2,Mon,weekday,410,283,9.5
1,3,Mon,weekday,311,546,9.4
1,4,Mon,weekday,629,1018,9.4
1,5,Mon,weekday,1507,1545,9.3
1,6,Mon,weekday,5406,3869,8.5
1,7,Mon,weekday,6013,5910,9.4
1,8,Mon,weekday,5858,5882,10.9
1,9,Mon,weekday,5373,5365,12.1
1,10,Mon,weekday,4582,4879,13.3
1,11,Mon,weekday,4626,4833,13.8
1,12,Mon,weekday,4841,4838,14.1
1,13,Mon,weekday,4776,5013,14.4
1,14,Mon,weekday,5058,5105,14.6
1,15,Mon,weekday,5829,6058,14.1
1,16,Mon,weekday,6272,6215,13.3
1,17,Mon,weekday,5699,5902,12.7
1,18,Mon,weekday,4414,5116,12.3
1,19,Mon,weekday,3168,3243,10.4
1,20,Mon,weekday,2458,2145,9.6
1,21,Mon,weekday,1791,1450,9.1
1,22,Mon,weekday,1050,1060,9
1,23,Mon,weekday,1054,732,10
1,0,Tues,weekday,951,503,10.1
1,1,Tues,weekday,621,275,9.8
1,2,Tues,weekday,395,268,11.3
1,3,Tues,weekday,295,500,10.9
1,4,Tues,weekday,579,1011,10
1,5,Tues,weekday,1368,1571,9.8
1,6,Tues,weekday,5280,3882,9.7
1,7,Tues,weekday,6003,6206,10.1
1,8,Tues,weekday,5968,6062,11.4
1,9,Tues,weekday,5375,5561,12.4
1,10,Tues,weekday,5083,5061,14.2
1,11,Tues,weekday,4683,4842,14.6
1,12,Tues,weekday,4778,4827,15.3
1,13,Tues,weekday,4993,5154,16.5
1,14,Tues,weekday,5115,5181,15.8
1,15,Tues,weekday,6008,6041,16
1,16,Tues,weekday,6360,6074,15.4
1,17,Tues,weekday,5726,6379,14.2
1,18,Tues,weekday,4861,5343,13
1,19,Tues,weekday,3211,3757,12.7
1,20,Tues,weekday,2439,2238,12.4
1,21,Tues,weekday,1872,1587,11.5
1,22,Tues,weekday,1356,1181,11.2
1,23,Tues,weekday,941,793,11.5
1,0,Wed,weekday,705,492,11.7
1,1,Wed,weekday,632,285,11.1
1,2,Wed,weekday,383,308,11.2
1,3,Wed,weekday,308,532,11.6
1,4,Wed,weekday,547,1011,11.6
1,5,Wed,weekday,1438,1619,11.8
1,6,Wed,weekday,5447,3806,11.8
1,7,Wed,weekday,5979,6033,12.5
1,8,Wed,weekday,5966,6029,12.9
1,9,Wed,weekday,5720,5799,13.3
1,10,Wed,weekday,4785,5150,15.3
1,11,Wed,weekday,4892,4795,16.4
1,12,Wed,weekday,4948,5006,15.9
1,13,Wed,weekday,5089,5255,15.6
1,14,Wed,weekday,5255,5454,16.2
1,15,Wed,weekday,5942,6283,15.2
1,16,Wed,weekday,4973,6223,15.3
1,17,Wed,weekday,5679,5751,15.2
1,18,Wed,weekday,5588,5895,14.7
1,19,Wed,weekday,2896,3849,14.5
1,20,Wed,weekday,2657,2360,14.2
1,21,Wed,weekday,2055,1720,14.2
1,22,Wed,weekday,1406,1244,14.2
1,23,Wed,weekday,1065,715,14.2
1,0,Thurs,weekday,826,547,14.3
1,1,Thurs,weekday,628,293,14
1,2,Thurs,weekday,396,261,13.8
1,3,Thurs,weekday,289,523,13.7
1,4,Thurs,weekday,591,1125,13.2
1,5,Thurs,weekday,1468,1689,13
1,6,Thurs,weekday,4845,3812,13
1,7,Thurs,weekday,5648,5733,13.3
1,8,Thurs,weekday,5726,5858,13.5
1,9,Thurs,weekday,4460,4093,13.9
1,10,Thurs,weekday,5262,5282,15.2
1,11,Thurs,weekday,5145,5080,16
1,12,Thurs,weekday,5140,5346,16.7
1,13,Thurs,weekday,5476,5320,17.5
1,14,Thurs,weekday,5205,5531,17.3
1,15,Thurs,weekday,6074,6117,17.4
1,16,Thurs,weekday,5688,6113,17.5
1,17,Thurs,weekday,5578,6217,17.2
1,18,Thurs,weekday,5008,5635,17.4
1,19,Thurs,weekday,3646,3900,17.1
1,20,Thurs,weekday,2649,2495,17.2
1,21,Thurs,weekday,2130,1835,17.1
1,22,Thurs,weekday,1588,1330,17.1
1,23,Thurs,weekday,1079,825,17.1
1,0,Fri,weekday,881,594,16.9
1,1,Fri,weekday,662,350,16.9
1,2,Fri,weekday,526,335,16.9
1,3,Fri,weekday,342,652,17
1,4,Fri,weekday,644,1234,17.3
1,5,Fri,weekday,1479,1757,17.3
1,6,Fri,weekday,5217,3755,17.2
1,7,Fri,weekday,5635,5877,17.5
1,8,Fri,weekday,5673,5478,17.9
1,9,Fri,weekday,4963,5296,18.5
1,10,Fri,weekday,4765,5143,19.3
1,11,Fri,weekday,5252,5296,19.3
1,12,Fri,weekday,5825,5824,19.9
1,13,Fri,weekday,6138,6308,20.5
1,14,Fri,weekday,6215,6341,20.2
1,15,Fri,weekday,6322,6186,20.2
1,16,Fri,weekday,5749,6020,19.7
1,17,Fri,weekday,5034,5456,18.6
1,18,Fri,weekday,4541,5049,18.5
1,19,Fri,weekday,3858,3912,18
1,20,Fri,weekday,2841,2517,17.6
1,21,Fri,weekday,1967,1788,17.3
1,22,Fri,weekday,1606,1429,16.8
1,23,Fri,weekday,1404,988,16.1
1,0,Sat,weekend,1035,706,15.2
1,1,Sat,weekend,741,466,15.4
1,2,Sat,weekend,527,371,15.7
1,3,Sat,weekend,333,651,15.5
1,4,Sat,weekend,538,937,15.4
1,5,Sat,weekend,866,1159,15.4
1,6,Sat,weekend,1755,1613,15.5
1,7,Sat,weekend,2326,2410,16.3
1,8,Sat,weekend,3140,3099,16.9
1,9,Sat,weekend,4226,4111,19.1
1,10,Sat,weekend,4573,4785,19.2
1,11,Sat,weekend,5699,5437,20.4
1,12,Sat,weekend,5803,5834,21.5
1,13,Sat,weekend,5867,6064,21.1
1,14,Sat,weekend,5630,5638,20.7
1,15,Sat,weekend,5223,4964,20.3
1,16,Sat,weekend,5038,4814,20
1,17,Sat,weekend,4693,4504,19.9
1,18,Sat,weekend,4167,4059,19.2
1,19,Sat,weekend,3052,3159,18.5
1,20,Sat,weekend,1929,1774,19.2
1,21,Sat,weekend,1475,1198,17.8
1,22,Sat,weekend,1515,1287,16.3
1,23,Sat,weekend,1333,1051,15.1
1,0,Sun,weekend,887,698,14.5
1,1,Sun,weekend,725,508,14.2
1,2,Sun,weekend,468,341,13.2
1,3,Sun,weekend,214,468,12.8
1,4,Sun,weekend,346,812,11.9
1,5,Sun,weekend,544,749,12
1,6,Sun,weekend,815,974,12.2
1,7,Sun,weekend,1270,1520,11.8
1,8,Sun,weekend,2093,1853,13
1,9,Sun,weekend,3117,3235,16.3
1,10,Sun,weekend,4028,4049,17.1
1,11,Sun,weekend,4494,4511,20
1,12,Sun,weekend,5576,5485,20.1
1,13,Sun,weekend,6002,5923,20.8
1,14,Sun,weekend,5289,5528,21.5
1,15,Sun,weekend,4961,5409,20.9
1,16,Sun,weekend,4995,4994,20.3
1,17,Sun,weekend,5003,4736,19.2
1,18,Sun,weekend,4757,4660,18.2
1,19,Sun,weekend,4041,3883,17.5
1,20,Sun,weekend,3081,3160,16.6
1,21,Sun,weekend,1983,1989,16.5
1,22,Sun,weekend,1385,1061,16.3
1,23,Sun,weekend,1216,839,16.5
2,0,Mon,weekday,985,518,16.4
2,1,Mon,weekday,635,299,15.9
2,2,Mon,weekday,452,275,15.6
2,3,Mon,weekday,295,550,15.2
2,4,Mon,weekday,603,1043,14.8
2,5,Mon,weekday,1536,1613,14.8
2,6,Mon,weekday,5401,3754,14.4
2,7,Mon,weekday,5831,5904,13.3
2,8,Mon,weekday,5506,6011,14.4
2,9,Mon,weekday,5530,5264,15.7
2,10,Mon,weekday,4663,4754,18.3
2,11,Mon,weekday,4790,4727,19.5
2,12,Mon,weekday,4871,4860,21.2
2,13,Mon,weekday,4926,5115,23
2,14,Mon,weekday,4866,5056,23
2,15,Mon,weekday,5741,6004,20.4
2,16,Mon,weekday,6332,6156,18.6
2,17,Mon,weekday,5661,6289,17.3
2,18,Mon,weekday,4287,4673,15.6
2,19,Mon,weekday,3181,3360,14.9
2,20,Mon,weekday,2517,2155,14.3
2,21,Mon,weekday,1885,1558,13.8
2,22,Mon,weekday,1267,1075,13.4
2,23,Mon,weekday,1067,707,13.9
2,0,Tues,weekday,829,508,14.2
2,1,Tues,weekday,700,264,14.7
2,2,Tues,weekday,376,291,14.7
2,3,Tues,weekday,342,472,14.6
2,4,Tues,weekday,551,1015,14.2
2,5,Tues,weekday,1443,1594,13.8
2,6,Tues,weekday,5495,3948,14.4
2,7,Tues,weekday,5004,6024,15.7
2,8,Tues,weekday,4904,6017,17.4
2,9,Tues,weekday,5945,5606,18.6
2,10,Tues,weekday,4577,5147,19.4
2,11,Tues,weekday,5028,4788,20.1
2,12,Tues,weekday,4878,4935,20.9
2,13,Tues,weekday,4966,5101,21.5
