week,hour,day,vehicles southbound,vehicles northbound
1,00:00,Mon,812,461
1,01:00,Mon,515,266
1,02:00,Mon,410,283
1,03:00,Mon,311,546
1,04:00,Mon,629,1018
1,05:00,Mon,1507,1545
1,06:00,Mon,5406,3869
1,07:00,Mon,6013,5910
1,08:00,Mon,5858,5882
1,09:00,Mon,5373,5365
1,10:00,Mon,4582,4879
1,11:00,Mon,4626,4833
1,12:00,Mon,4841,4838
1,13:00,Mon,4776,5013
1,14:00,Mon,5058,5105
1,15:00,Mon,5829,6058
1,16:00,Mon,6272,6215
1,17:00,Mon,5699,5902
1,18:00,Mon,4414,5116
1,19:00,Mon,3168,3243
1,20:00,Mon,2458,2145
1,21:00,Mon,1791,1450
1,22:00,Mon,1050,1060
1,23:00,Mon,1054,732
1,00:00,Tues,951,503
1,01:00,Tues,621,275
1,02:00,Tues,395,268
1,03:00,Tues,295,500
1,04:00,Tues,579,1011
1,05:00,Tues,1368,1571
1,06:00,Tues,5280,3882
1,07:00,Tues,6003,6206
1,08:00,Tues,5968,6062
1,09:00,Tues,5375,5561
1,10:00,Tues,5083,5061
1,11:00,Tues,4683,4842
1,12:00,Tues,4778,4827
1,13:00,Tues,4993,5154
1,14:00,Tues,5115,5181
1,15:00,Tues,6008,6041
1,16:00,Tues,6360,6074
1,17:00,Tues,5726,6379
1,18:00,Tues,4861,5343
1,19:00,Tues,3211,3757
1,20:00,Tues,2439,2238
1,21:00,Tues,1872,1587
1,22:00,Tues,1356,1181
1,23:00,Tues,941,793
1,00:00,Wed,705,492
1,01:00,Wed,632,285
1,02:00,Wed,383,308
1,03:00,Wed,308,532
1,04:00,Wed,547,1011
1,05:00,Wed,1438,1619
1,06:00,Wed,5447,3806
1,07:00,Wed,5979,6033
1,08:00,Wed,5966,6029
1,09:00,Wed,5720,5799
1,10:00,Wed,4785,5150
1,11:00,Wed,4892,4795
1,12:00,Wed,4948,5006
1,13:00,Wed,5089,5255
1,14:00,Wed,5255,5454
1,15:00,Wed,5942,6283
1,16:00,Wed,4973,6223
1,17:00,Wed,5679,5751
1,18:00,Wed,5588,5895
1,19:00,Wed,2896,3849
1,20:00,Wed,2657,2360
1,21:00,Wed,2055,1720
1,22:00,Wed,1406,1244
1,23:00,Wed,1065,715
1,00:00,Thurs,826,547
1,01:00,Thurs,628,293
1,02:00,Thurs,396,261
1,03:00,Thurs,289,523
1,04:00,Thurs,591,1125
1,05:00,Thurs,1468,1689
1,06:00,Thurs,4845,3812
1,07:00,Thurs,5648,5733
1,08:00,Thurs,5726,5858
1,09:00,Thurs,4460,4093
1,10:00,Thurs,5262,5282
1,11:00,Thurs,5145,5080
1,12:00,Thurs,5140,5346
1,13:00,Thurs,5476,5320
1,14:00,Thurs,5205,5531
1,15:00,Thurs,6074,6117
1,16:00,Thurs,5688,6113
1,17:00,Thurs,5578,6217
1,18:00,Thurs,5008,5635
1,19:00,Thurs,3646,3900
1,20:00,Thurs,2649,2495
1,21:00,Thurs,2130,1835
1,22:00,Thurs,1588,1330
1,23:00,Thurs,1079,825
1,00:00,Fri,881,594
1,01:00,Fri,662,350
1,02:00,Fri,526,335
1,03:00,Fri,342,652
1,04:00,Fri,644,1234
1,05:00,Fri,1479,1757
1,06:00,Fri,5217,3755
1,07:00,Fri,5635,5877
1,08:00,Fri,5673,5478
1,09:00,Fri,4963,5296
1,10:00,Fri,4765,5143
1,11:00,Fri,5252,5296
1,12:00,Fri,5825,5824
1,13:00,Fri,6138,6308
1,14:00,Fri,6215,6341
