date,cars per hour,rain,temp
02/10/2023 00:00,1273,0,10.2
02/10/2023 01:00,781,0,9.8
02/10/2023 02:00,693,0,9.5
02/10/2023 03:00,857,0,9.4
02/10/2023 04:00,1647,0,9.4
02/10/2023 05:00,3052,0,9.3
02/10/2023 06:00,9275,0,8.5
02/10/2023 07:00,11923,0,9.4
02/10/2023 08:00,11740,0,10.9
02/10/2023 09:00,10738,0,12.1
02/10/2023 10:00,9461,0,13.3
02/10/2023 11:00,9459,0,13.8
02/10/2023 12:00,9679,0,14.1
02/10/2023 13:00,9789,0,14.4
02/10/2023 14:00,10163,0,14.6
02/10/2023 15:00,11887,0,14.1
02/10/2023 16:00,12487,0,13.3
02/10/2023 17:00,11601,0,12.7
02/10/2023 18:00,9530,0,12.3
02/10/2023 19:00,6411,0,10.4
02/10/2023 20:00,4603,0,9.6
02/10/2023 21:00,3241,0,9.1
02/10/2023 22:00,2110,0,9
02/10/2023 23:00,1786,0,10
03/10/2023 00:00,1454,0,10.1
03/10/2023 01:00,896,0,9.8
03/10/2023 02:00,663,0,11.3
03/10/2023 03:00,795,0,10.9
03/10/2023 04:00,1590,0,10
03/10/2023 05:00,2939,0,9.8
03/10/2023 06:00,9162,0,9.7
03/10/2023 07:00,12209,0.1,10.1
03/10/2023 08:00,12030,0,11.4
03/10/2023 09:00,10936,0,12.4
03/10/2023 10:00,10144,0,14.2
03/10/2023 11:00,9525,0,14.6
03/10/2023 12:00,9605,0,15.3
03/10/2023 13:00,10147,0,16.5
03/10/2023 14:00,10296,0,15.8
03/10/2023 15:00,12049,0,16
03/10/2023 16:00,12434,0,15.4
03/10/2023 17:00,12105,0,14.2
03/10/2023 18:00,10204,0,13
03/10/2023 19:00,6968,0,12.7
03/10/2023 20:00,4677,0,12.4
03/10/2023 21:00,3459,0,11.5
03/10/2023 22:00,2537,0,11.2
03/10/2023 23:00,1734,0,11.5
04/10/2023 00:00,1197,0,11.7
04/10/2023 01:00,917,0,11.1
04/10/2023 02:00,691,0,11.2
04/10/2023 03:00,840,0,11.6
04/10/2023 04:00,1558,0,11.6
04/10/2023 05:00,3057,0,11.8
04/10/2023 06:00,9253,0,11.8
04/10/2023 07:00,12012,0,12.5
04/10/2023 08:00,11995,0,12.9
04/10/2023 09:00,11519,0,13.3
04/10/2023 10:00,9935,0,15.3
04/10/2023 11:00,9687,0,16.4
04/10/2023 12:00,9954,0,15.9
04/10/2023 13:00,10344,0,15.6
04/10/2023 14:00,10709,0,16.2
04/10/2023 15:00,12225,0,15.2
04/10/2023 16:00,11196,0,15.3
04/10/2023 17:00,11430,0,15.2
04/10/2023 18:00,11483,0,14.7
04/10/2023 19:00,6745,0,14.5
04/10/2023 20:00,5017,0,14.2
04/10/2023 21:00,3775,0,14.2
04/10/2023 22:00,2650,0,14.2
04/10/2023 23:00,1780,0,14.2
05/10/2023 00:00,1373,0,14.3
05/10/2023 01:00,921,0.4,14
05/10/2023 02:00,657,0,13.8
05/10/2023 03:00,812,0.4,13.7
05/10/2023 04:00,1716,0.4,13.2
05/10/2023 05:00,3157,0.6,13
05/10/2023 06:00,8657,0,13
05/10/2023 07:00,11381,0.4,13.3
05/10/2023 08:00,11584,0.2,13.5
05/10/2023 09:00,8553,0.8,13.9
05/10/2023 10:00,10544,0.2,15.2
05/10/2023 11:00,10225,0.2,16
05/10/2023 12:00,10486,0,16.7
05/10/2023 13:00,10796,0,17.5
05/10/2023 14:00,10736,0,17.3
05/10/2023 15:00,12191,0,17.4
05/10/2023 16:00,11801,0,17.5
05/10/2023 17:00,11795,0,17.2
05/10/2023 18:00,10643,0,17.4
05/10/2023 19:00,7546,0,17.1
05/10/2023 20:00,5144,0,17.2
05/10/2023 21:00,3965,0,17.1
05/10/2023 22:00,2918,0,17.1
